,vehicle_count,average_speed,lane_occupancy,flow_rate,time_of_day,waiting_time
67,40,66.23768325,97.78109773,810,morning,48.0191957
68,104,51.17163163,64.23685226,513,afternoon,0.995570487
69,57,84.24418512,45.24258829,1185,night,4.873180031
70,39,44.83731381,76.17635053,1036,afternoon,46.86038979
71,119,42.84475757,9.113273252,1290,morning,103.099973
72,41,61.77121861,60.74463919,540,night,22.05263057
73,73,8.471950716,66.06115908,1097,afternoon,4.992683055
74,38,40.40571434,45.20549039,531,evening,11.62566238
75,45,48.26199907,25.25986184,912,morning,45.61853109
76,116,64.48844496,95.45848894,772,evening,23.5069688
77,115,68.60762631,30.11349,554,evening,1.785978106
78,128,72.38211833,12.47969324,797,afternoon,11.0632625
79,37,44.09883121,63.04735776,1085,evening,41.92564527
80,119,35.26536594,57.4322972,642,night,11.82601801
81,96,51.17727182,75.47725383,1223,morning,16.98633429
82,33,44.67759072,75.37831323,586,night,70.63191565
83,104,16.5018782,62.02359429,682,evening,125.2854846
84,103,53.27994992,20.75352949,881,night,42.46582521
85,57,31.70167686,88.71455422,900,morning,8.238071008
86,111,45.44451529,24.8283005,1368,evening,8.35755177
87,107,44.22857035,9.398428844,1350,morning,10.88363387
88,37,92.83095354,30.1499124,716,afternoon,5.250437649
89,74,67.98933261,48.32321992,878,afternoon,5.91084621
90,40,62.81921381,20.71826472,1089,night,8.871008723
91,117,69.43939665,33.36716687,707,night,32.35425735
92,118,43.07962418,51.36931921,1383,evening,28.43880331
93,78,25.1218298,32.29394285,1185,evening,12.5064795
94,97,6.781908176,8.931735148,543,afternoon,6.569598326
95,131,60.81823715,19.72135168,916,afternoon,29.34673149
96,78,61.07952161,79.42068788,861,morning,4.207998954
97,94,34.80141517,95.43316189,1088,afternoon,4.743378007
98,112,37.25746545,14.84368892,545,afternoon,14.50442647
99,76,33.97814347,68.10190525,1142,morning,25.13618229
100,53,34.01778914,90.55797754,779,afternoon,39.09046437
101,65,39.91224421,29.91428593,812,night,34.84467452
102,37,56.72187607,82.94617348,671,morning,14.26625746
103,114,71.24137482,90.49357714,1278,afternoon,31.89610995
104,86,49.52555889,29.94978904,547,morning,7.122859505
105,113,75.32709514,5.674081008,856,afternoon,20.42144236
106,123,97.42821426,91.67930885,1028,afternoon,28.65702447
107,30,57.98866084,33.04826745,1127,evening,40.92493458
108,125,48.76878443,1.373805698,1475,morning,2.488054514
109,76,3.474742636,47.49197752,1201,night,3.198882008
110,137,62.08116012,11.58765808,1161,afternoon,2.301653142
111,76,51.24969384,90.17018747,1210,night,23.72075143
112,37,51.75121889,15.49954284,849,evening,25.32291775
113,31,45.54540451,30.44188048,865,night,0.332295222
114,119,41.30428142,79.04501709,535,evening,32.07459494
115,13,30.0196137,80.63469703,1297,morning,43.23195979
116,86,66.15088657,90.12799887,545,evening,3.719654125
117,120,0,49.73961569,917,afternoon,12.34421402
118,72,58.86798357,98.6720629,1359,evening,56.90802579
119,74,19.68520535,51.61890058,684,morning,34.86574515
120,72,75.58138382,79.07077916,913,morning,10.89992862
121,87,43.34610379,36.19024159,804,afternoon,40.67212457
122,82,61.18922636,94.12913163,570,afternoon,65.48213519
123,134,53.8273689,68.50162267,1453,night,11.10236223
124,61,73.89365887,7.709825166,1457,afternoon,34.58733733
125,115,86.89957379,10.85198288,1324,evening,2.942261412
126,89,73.18787029,89.08105511,856,afternoon,1.814256377
127,33,62.37259726,80.95585125,1300,night,26.47533138
128,102,44.3244647,33.00942398,1312,afternoon,20.34326689
129,84,59.7074803,52.15959637,583,night,49.8358788
130,31,70.57171467,85.27484378,529,afternoon,45.4624833
131,42,42.2795806,10.34311041,1477,morning,10.13541124
132,121,51.3655748,13.81394216,1223,afternoon,21.5393321
133,101,34.7510205,71.55269387,705,evening,42.29015149
134,57,67.33881357,8.220548244,522,morning,9.480501456
135,63,60.0263424,35.25664964,1171,afternoon,13.48069207
136,119,24.59090234,25.18083222,596,afternoon,1.851905423
137,37,56.75812697,76.02858946,1482,morning,4.194714855
138,67,46.09071267,0.24478736,1174,morning,28.26521121
139,66,52.54352457,11.5384717,1191,morning,20.6001187
140,69,35.99626618,9.9007541,1305,evening,5.538990474
141,111,76.35098966,31.80770519,837,afternoon,0.2192352
142,52,36.89882577,23.2479499,1288,night,5.554960931
143,79,92.51073356,22.82827851,1449,afternoon,41.54565647
144,49,52.99508929,37.03932613,1086,afternoon,2.950961429
145,60,44.12891916,21.40489775,879,morning,15.44748779
146,77,58.97894733,10.62141887,1334,night,8.185341928
147,108,56.18232649,58.32512643,1352,afternoon,23.91503501
148,27,89.59260649,95.1737697,1279,afternoon,21.49568841
149,69,59.29281226,60.7164927,614,morning,122.1543792
150,36,12.91263301,75.70206706,1439,afternoon,44.46831284
151,66,37.31273141,97.21768392,1323,evening,83.57851915
152,61,66.20644568,15.31626452,992,afternoon,25.87953252
153,105,46.52453906,45.98099721,905,evening,40.15729913
154,58,39.95827699,58.18473575,971,morning,67.63573418
155,53,36.59126645,32.21128266,1411,afternoon,1.258147288
156,40,31.60017978,61.31294785,785,evening,74.11242897
157,67,55.09198947,62.38204902,1211,afternoon,7.138972164
158,63,36.69786462,84.22292363,666,morning,36.62503554
159,101,76.89590692,83.25153827,1049,morning,44.52924396
160,105,33.42198362,14.25219388,562,afternoon,3.473303994
161,42,23.95248503,16.88918902,524,morning,91.79206962
162,57,49.61954973,22.23719878,530,evening,78.33825544
163,87,9.287471467,26.1230231,1228,morning,31.88746238
164,69,1.877786449,56.44934072,1231,morning,5.064247378
165,41,62.49266688,32.74903409,1134,evening,25.04481752
166,80,51.09365827,95.29626866,1071,afternoon,12.65445934
167,123,8.273517328,11.83014213,573,morning,80.10717512
168,108,51.81655972,24.64849765,1064,afternoon,15.65941544
169,46,44.16525345,86.83175421,736,evening,35.50054215
170,120,19.53467946,58.43311351,1133,afternoon,30.40182153
171,61,64.62446064,54.74284463,1430,morning,9.483075009
172,106,80.36998353,59.43452517,1371,morning,23.00360765
173,80,88.49953257,25.22645596,1116,morning,15.8279736
174,43,56.53744698,76.14472232,824,evening,14.08224737
175,106,50.44853182,49.65321136,594,morning,59.85421554
176,73,85.48391554,4.259594126,530,afternoon,4.516258396
177,36,55.0466878,17.71582623,1523,night,15.8490202
178,76,43.18687013,81.66241554,757,night,0.203260627
179,101,36.88131903,34.50447656,1279,morning,9.10988558
180,97,61.07481841,77.3444127,920,evening,29.16574272
181,117,17.26724047,66.33767354,534,afternoon,2.747748082
182,59,73.19176824,30.14597807,1075,afternoon,9.489903834
183,70,22.18515784,12.7035544,643,evening,63.66516593
184,49,33.04443373,80.69452866,1317,afternoon,35.31363163
185,94,56.18369783,64.30873608,500,morning,2.186436835
186,36,84.91215877,30.07975086,1388,afternoon,146.3086258
187,99,44.62785639,52.32749682,819,night,87.08999505
188,41,28.98356493,61.19030715,983,evening,4.583693336
189,83,71.34899209,0.211852168,835,afternoon,76.48083653
190,49,41.18134551,67.05132748,614,afternoon,23.95148137
191,104,16.41610115,65.60780671,1196,evening,79.51369637
192,36,62.12241834,8.25784216,1373,afternoon,103.3082153
193,57,45.55553184,78.77533337,1028,evening,35.48234844
194,50,45.12010001,82.508885,880,morning,10.32959343
195,103,64.74123022,29.01624707,929,evening,77.57131652
196,80,66.55356815,16.22126572,727,afternoon,25.56277081
197,104,34.96956722,68.64814991,1091,afternoon,12.53561293
198,111,52.44681587,12.33501584,1214,morning,18.4876924
199,86,18.83411356,85.8042417,954,afternoon,15.63648353
200,117,44.85758696,48.0129485,759,night,82.13519182
201,69,32.44907641,90.9808982,1053,night,51.41614154
202,104,45.79399521,64.2169372,725,afternoon,0.956327267
203,120,41.80698617,28.5092266,692,afternoon,0.297136499
204,113,46.36274685,46.80377157,754,afternoon,2.156955264
205,121,16.57158987,52.93471476,1472,evening,28.27803098
206,135,23.64083142,81.51586649,818,afternoon,50.53773975
207,44,45.66415394,86.18551642,810,evening,21.70500595
208,123,79.88840815,68.30117762,505,afternoon,22.95355548
209,116,64.64047999,29.41981052,784,afternoon,8.249787269
210,84,58.67989703,52.8568508,878,afternoon,18.44629251
211,101,38.09099213,13.06218524,871,morning,8.905561903
212,103,31.10907458,23.01094755,1487,evening,9.606690003
213,117,62.49347296,30.30586342,1049,morning,14.88598826
214,118,26.70049051,7.275993158,1299,afternoon,1.461373136
215,117,82.63859133,88.49886057,1402,morning,93.00503691
216,98,49.13179254,12.26441772,633,morning,73.69399394
217,62,90.2918766,69.68387261,753,night,47.72808985
218,75,84.06718723,50.56618688,1335,morning,25.21540465
219,116,58.42606029,83.17678286,531,evening,50.30348918
220,117,57.63367483,74.10357482,1072,afternoon,109.6490515
221,91,37.09985727,75.97380053,1370,afternoon,10.00482454
222,104,76.44051337,41.83462777,623,night,13.58968269
223,44,42.37232986,83.39761359,928,night,39.17417141
224,132,16.23198835,9.474187559,910,evening,30.88927774
225,48,73.07845266,44.44190159,947,evening,52.25803937
226,98,60.91515706,99.46140608,1373,afternoon,12.78444881
227,119,39.70125237,94.8114545,929,afternoon,11.15594625
228,120,55.29899188,8.221258498,1441,morning,26.41447085
229,42,50.65432067,57.29855892,1056,evening,4.729728292
230,63,79.56441822,31.56506118,1453,night,1.211377525
231,93,29.86081447,72.8472535,1195,afternoon,8.396803957
232,80,79.80007421,73.57874336,938,afternoon,5.170821451
233,107,76.60289011,0.009326802,540,morning,0.200927959
234,41,37.19027373,84.58191808,693,night,45.15352362
235,82,58.41152154,22.35827077,904,afternoon,23.50604497
236,24,60.95561752,96.59066142,635,evening,33.16485329
237,79,109.5729237,90.54313079,1487,evening,5.339748808
238,77,34.38534581,19.0659049,1196,evening,8.899341931
239,60,11.49016208,63.6335424,622,morning,1.859848584
240,100,9.797445364,29.6351306,726,morning,179.43106
241,120,54.2232707,10.29841354,1115,evening,3.263893437
242,26,70.49505223,87.40023281,1219,night,2.84135604
243,84,32.20852506,18.08264722,914,afternoon,28.57063347
244,122,46.17497977,42.09675604,1203,afternoon,12.09875042
245,52,41.1432093,92.4189126,1226,afternoon,65.56520826
246,86,27.13914574,7.53543414,1275,evening,53.42788209
247,50,62.0660781,55.05844957,584,evening,60.78331092
248,118,15.06595212,57.21443723,596,evening,39.85551844
249,51,62.76197208,76.30667107,990,morning,4.239640229
250,35,41.39537509,82.71308698,1206,morning,1.971751932
251,34,69.69179079,42.41437948,1484,evening,2.00437911
252,122,53.45068413,74.36830407,1353,evening,48.55127209
253,118,18.99548837,91.04393171,1047,night,32.11103035
254,74,56.25367612,88.62661991,849,afternoon,118.8748121
255,123,42.3408943,50.18190686,1254,morning,30.94332668
256,54,71.86069996,60.70295495,566,afternoon,8.601013465
257,118,64.54866556,67.28088619,1304,evening,2.813312247
258,128,72.87588973,81.91087999,841,evening,13.65224949
259,123,43.09484305,50.77330898,501,night,6.682919483
260,101,31.6785008,11.19000193,1321,night,29.69774367
261,89,49.70834533,38.53017371,1406,morning,3.026543679
262,52,64.66156499,72.02020794,1201,morning,44.41954534
263,63,30.82866908,62.37989452,744,afternoon,35.77621963
264,59,56.1750597,75.34918015,721,afternoon,39.99488263
265,124,57.52014366,49.99537383,1483,morning,100.9838577
266,93,77.50718596,17.44047725,925,evening,31.54270619
267,121,29.15433109,11.52075386,1023,morning,46.61334388
268,76,59.84921081,48.1261939,1015,afternoon,2.674923014
269,30,40.16162053,20.57248362,964,morning,85.98885424
270,42,34.89642201,98.22668881,1208,afternoon,7.399002245
271,67,88.84842375,19.87529719,705,afternoon,20.38033516
272,125,58.90644187,56.67842947,1391,afternoon,94.46257346
273,101,80.73867734,0.176793419,935,night,5.930252096
274,67,35.05899598,25.36450822,1332,evening,1.084580865
275,54,83.53177015,25.91384872,1097,afternoon,10.57469109
276,41,41.84777875,73.79874356,1134,evening,5.10143559
277,126,65.90039698,49.56261385,495,evening,33.08135666
278,108,31.09679289,1.209185101,596,morning,9.787474091
279,70,28.54183753,37.91709389,1223,night,1.947015717
280,28,49.46837167,64.47810971,1370,night,67.05439022
281,24,80.97945419,63.67069549,1001,evening,1.522219882
282,36,75.27626226,5.388871421,1256,evening,9.493609603
283,106,52.82636245,92.89129324,826,morning,8.244729462
284,47,43.53771126,24.69910687,709,morning,0.713623415
285,34,56.36874707,89.15261141,1026,afternoon,5.418068536
286,45,28.9581946,21.34144459,505,night,50.5974976
287,121,52.80014083,56.78502843,783,night,1.147511815
288,46,50.94645478,40.60803082,722,evening,0.705038473
289,73,51.03498407,58.13492831,695,afternoon,30.15539737
290,97,59.28907772,49.78628142,1327,evening,2.793795893
291,73,65.84083009,0.204731085,1269,evening,13.93634767
292,104,2.197773282,35.13323748,1256,afternoon,0.064315513
293,29,33.38204339,1.121715633,1139,night,13.50037841
294,102,36.88906105,68.33665347,804,evening,11.4836067
295,103,46.83322996,85.34958052,856,evening,28.45670658
296,116,48.59498208,38.47144617,658,morning,20.74020842
297,41,62.68334085,52.48020376,856,night,34.04507695
298,64,56.4401926,6.583734718,1491,evening,82.39860665
299,63,73.96490671,38.51974088,1347,afternoon,47.56773842
300,83,43.99701995,13.88604064,744,evening,81.339492
301,115,36.41676554,6.470183895,596,morning,1.672541209
302,117,47.20184055,17.20331475,1260,night,139.1897267
303,42,50.59573362,87.08439436,1146,night,11.66086933
304,46,51.98848523,98.22044033,857,morning,9.718681651
305,106,44.88092784,87.92141328,934,morning,15.5013669
306,81,71.7163375,96.96704717,1098,afternoon,45.87747359
307,73,69.70621072,73.08068015,1108,morning,92.55970164
308,42,71.75139814,15.97054998,1397,evening,24.23894662
309,96,30.26647459,56.31704531,1008,night,5.030817275
310,106,64.4929846,73.15960696,1433,night,7.22602723
311,30,82.11545459,51.34627941,493,evening,15.59455516
312,113,72.38825827,55.46672341,740,evening,13.659703
313,120,39.72695895,58.6190095,862,evening,8.164893519
314,107,43.36383847,46.68464394,730,afternoon,56.95927804
315,60,18.60386893,29.05884664,1465,afternoon,9.85980777
316,104,75.71791746,63.70251388,1171,evening,26.95007305
317,42,30.46663068,5.350839589,776,night,19.57759536
318,71,40.41664639,17.09272467,1353,night,77.09833501
319,104,61.17785325,92.5261538,1075,evening,29.74016049
320,66,52.89031877,48.88162525,794,night,12.10821081
321,127,57.29022271,82.16838114,1182,morning,30.54071808
322,95,38.47398347,72.65406917,701,afternoon,11.5216718
323,123,24.82514486,32.0709054,968,evening,2.858002246
324,91,54.32287489,80.36490631,1140,morning,19.91964434
325,49,32.39154262,9.132244005,661,afternoon,59.0258832
326,106,60.40892052,87.49782543,542,evening,71.96658647
327,102,32.16707106,68.05600013,1383,morning,23.540908
328,73,47.01062754,92.70723169,1189,afternoon,36.07160955
329,41,84.31950865,89.55104002,881,night,28.30148341
330,107,54.3667851,38.02620356,775,afternoon,49.95245613
331,53,34.00231047,85.68325219,1117,afternoon,3.26849746
332,78,59.98193235,56.3016072,736,evening,15.3934495
333,48,47.16302524,15.71143164,1251,afternoon,8.753945176
334,120,34.22750823,82.95508634,870,evening,0.197928362
335,65,50.48695435,90.79197586,731,night,53.14457333
336,47,74.80360372,8.454720766,1302,evening,4.322543547
337,34,62.07969508,93.05528441,1288,afternoon,11.71916089
338,87,46.36026744,60.12649096,709,evening,60.49438848
339,115,25.74371718,2.58974154,1465,night,38.33046799
340,51,64.68667768,54.17946313,855,evening,25.15998539
341,43,59.55956196,79.67490343,763,morning,11.14354472
342,122,17.47130236,53.31814471,463,afternoon,21.72812662
343,112,20.37027381,70.7246254,1217,morning,1.736432923
344,115,81.45436536,87.95827319,1235,morning,38.98120888
345,53,56.40120017,86.97615102,738,afternoon,8.127331274
346,109,22.15314839,17.88699179,623,evening,19.57168975
347,81,72.73722438,42.71300251,1366,night,2.977037252
348,41,74.33067345,11.11650659,922,morning,37.21785559
349,85,35.80403601,59.50978171,933,night,67.85231632
350,63,31.54719264,95.47267511,601,evening,18.26067075
351,46,51.59027435,18.1846973,907,evening,2.60681168
352,43,53.20206382,40.36303638,668,morning,87.05352463
353,56,46.83609694,95.40268,944,night,17.77459441
354,29,28.54897566,75.01182264,895,evening,2.512519505
355,60,42.96590107,7.116947907,751,afternoon,6.263432372
356,94,41.51350168,42.84155666,962,morning,3.829706645
357,73,20.24192811,98.78857215,1022,evening,6.601649886
358,45,69.83114606,45.32425985,1513,morning,5.080487029
359,118,28.77223016,62.94014099,1279,morning,76.87085244
360,63,76.11987695,70.09767011,817,afternoon,7.036537881
361,46,53.06742651,66.39313898,789,evening,17.50009728
362,39,37.16005026,51.8718459,672,afternoon,39.26654749
363,127,57.75179727,13.27956875,802,morning,33.90059306
364,120,47.34068583,70.84148601,618,evening,94.02652134
365,102,76.48409829,93.33278727,550,night,101.4679388
366,79,92.42018441,94.16966473,959,morning,25.36759432
367,122,57.85007819,59.33894062,754,evening,41.86658529
368,50,46.42458123,49.21974891,1144,afternoon,14.63502256
369,82,82.05667215,33.39611003,725,morning,16.82412449
370,84,45.90489953,10.35689887,1309,evening,3.306884897
371,123,39.46397669,88.31178243,1109,afternoon,33.57236738
372,73,74.61120257,13.70534206,811,night,9.46634768
373,111,66.79144621,28.79457295,1516,afternoon,2.496926192
374,91,39.71816436,74.03984708,1115,morning,3.101903191
375,122,56.29853853,70.47636837,1162,afternoon,38.44473026
376,46,43.12228501,68.1012754,1022,evening,7.799173328
377,102,62.08459308,74.17069955,1132,morning,44.08836215
378,124,60.08698231,54.19774139,1024,morning,70.90829425
379,115,24.43485909,15.49509761,745,evening,12.5040693
380,117,50.82778378,99.8358013,1490,afternoon,47.37833123
381,68,20.32694212,89.21395872,923,evening,16.79781449
382,91,21.5462991,43.11522471,952,evening,44.3808175
383,58,40.12803192,53.03261098,1079,morning,10.98977255
384,81,38.06254912,39.35509502,699,morning,80.42196251
385,118,15.80543808,63.79781757,585,evening,130.7647256
386,119,26.26810758,73.11400398,659,night,14.64028345
387,56,19.17094961,23.15631988,820,night,6.654103657
388,119,35.17698487,43.27965335,1196,night,34.68700674
389,119,60.52364164,64.02347867,1225,night,26.28285636
390,101,79.5332617,98.80197206,1039,afternoon,142.917456
391,129,71.15536705,32.48741358,1382,morning,50.07471025
392,70,58.67896782,74.50004469,1172,night,54.073325
393,76,57.54851316,34.66717635,1184,evening,38.89146098
394,65,47.88220428,9.233975304,978,morning,12.95992604
395,42,48.0016637,77.014582,1514,afternoon,82.39240518
396,91,77.6908514,64.9306883,1215,morning,18.8022579
397,115,62.37019204,51.43397155,1088,night,15.29694771
398,125,53.9857382,67.50358888,694,afternoon,6.47888846
399,52,14.8918626,87.9300054,1194,afternoon,10.87031657
400,109,64.56878394,75.6510601,647,evening,0.067716588
401,132,64.82673405,85.78174229,1207,evening,32.35587398
402,100,37.60215983,29.00188365,833,afternoon,27.90154314
403,118,54.52749793,80.04835173,1131,morning,15.47681243
404,39,47.32758491,36.00093471,576,evening,102.4350815
405,127,39.23518027,2.065185639,936,night,35.43760618
406,39,58.20468483,4.318423646,1487,afternoon,8.34051616
407,107,28.38144679,73.03545627,858,morning,14.27832086
408,56,90.77752736,27.19093046,1057,morning,21.75770199
409,72,60.62452522,30.75842536,871,evening,23.64702414
410,70,47.80453431,62.25780461,1269,morning,9.673811011
411,121,69.17765596,74.15092599,1285,evening,8.608081688
412,84,65.67472113,55.88842511,932,morning,10.67554883
413,122,35.10416376,70.63722413,899,morning,99.19267769
414,43,39.897724,94.10528365,1166,afternoon,13.3663596
415,22,4.253091877,85.41599451,1290,morning,14.0589728
416,86,28.55797919,24.08036512,1185,morning,38.21514751
417,53,63.33728399,90.67916477,784,morning,5.329300417
418,59,53.66531738,29.72642552,1372,night,30.91430012
419,101,40.13512269,66.05882591,982,evening,32.91010203
420,107,56.94059515,87.47163235,1186,night,2.000702733
421,107,39.36215764,62.34461273,1302,afternoon,6.319601316
422,81,20.9833261,80.61961361,1097,afternoon,18.84838026
423,63,31.06504024,92.73471089,1429,night,54.13028717
424,109,95.9008837,96.69370651,1002,morning,39.54149882
425,124,46.96100093,41.06329302,914,afternoon,62.01379366
426,64,48.11239639,99.27682066,860,morning,57.11555503
427,53,60.46556727,27.16811638,1325,evening,21.49259795
428,45,69.57654986,46.21865773,1449,morning,29.20836278
429,59,45.48175982,76.07055595,675,night,76.07302643
430,104,72.18865441,97.01535679,619,morning,40.5362425
431,103,45.59651768,5.294136124,1252,morning,13.28924688
432,45,49.7884875,94.56416967,1233,morning,12.9401568
433,75,40.36053138,99.86754976,1009,evening,13.70064224
434,91,65.37716012,90.95794412,1407,afternoon,20.50797829
435,45,22.36556887,10.83842154,1301,morning,13.50546567
436,55,54.57896331,84.07002586,627,afternoon,6.229514047
437,113,61.84466397,63.97618036,587,morning,27.11005279
438,54,70.50421551,0.952653936,447,afternoon,61.0249319
439,45,60.92595679,98.43762115,532,evening,20.35062197
440,69,31.60103084,15.05237233,674,afternoon,7.421119325
441,121,61.54188056,39.68213969,1221,afternoon,50.30748043
442,72,64.80162623,3.027250404,729,evening,42.2861791
443,90,62.98122667,30.95191148,1237,afternoon,36.14091432
444,107,45.21177655,56.83257233,1129,morning,33.69247473
445,46,46.94941957,93.08531224,1059,night,45.73556581
446,72,69.9157394,99.03645262,1244,morning,53.20514328
447,56,50.04189999,42.33582751,1429,evening,68.54323552
448,92,30.91953442,42.81838869,561,evening,28.24296414
449,57,41.81168698,16.03434318,752,evening,15.0061073
450,101,79.82980532,49.83588967,685,morning,2.825900487
451,88,23.12677663,94.00810158,642,night,38.44899498
452,119,76.00559223,16.53961574,1195,afternoon,4.566841391
453,113,50.4825945,26.64732431,811,night,60.86697669
454,58,23.48814831,89.13178737,1372,evening,15.61994795
455,70,65.84292055,62.64306138,548,night,62.65727296
456,119,35.76793744,33.0507238,1012,night,21.92389078
457,44,51.87573431,81.27449652,1021,morning,18.125702
458,72,13.25324093,10.89641417,1470,night,13.55642542
459,100,76.90678187,85.83513658,884,afternoon,1.899284206
460,41,44.11798733,51.8001666,1124,morning,0.347847501
461,62,37.73099793,75.69344304,1203,afternoon,21.32035542
462,98,53.82695066,51.83915916,1016,night,69.41170705
463,61,67.70682967,24.62729219,1124,evening,26.46465934
464,91,46.2233139,64.08486228,1484,evening,59.49730784
465,94,67.07480745,15.4791136,1159,morning,249.3325033
466,90,49.48473352,22.98704345,1393,afternoon,5.902963772
467,40,51.76285097,54.9325669,1069,night,32.32694913
468,100,33.98594332,38.99835813,755,morning,16.18229745
469,124,71.13334444,74.52022853,900,afternoon,7.026329844
470,108,63.40754649,58.35724775,1217,morning,8.268799387
471,108,60.9802097,38.13351276,954,afternoon,8.417365534
472,71,71.33757201,32.67299348,549,evening,39.24132141
473,77,29.01405166,91.3242782,830,morning,13.15524138
474,49,51.42341593,4.008266196,1152,night,8.860715331
475,47,72.17450203,69.10310392,825,afternoon,65.13635158
476,46,49.29805556,39.18985789,1005,night,1.048447733
477,34,52.95307115,37.73576746,852,morning,39.91077324
478,43,52.38191708,65.18767733,610,morning,96.98675774
479,112,59.45819139,85.04647532,1241,afternoon,29.47638398
480,72,11.52958658,72.44122453,756,afternoon,23.83301059
481,82,52.38112082,67.01112682,1093,morning,1.902465273
482,114,57.93925893,49.620245,1467,morning,20.97247143
483,95,57.85430158,46.91784639,1393,afternoon,13.45450488
484,54,82.0042533,46.07152755,592,evening,45.165934
485,33,38.30317417,14.54474633,936,night,50.10371471
486,109,82.95629971,55.95029884,690,night,5.503353758
487,78,42.7445234,31.54642781,814,morning,22.15965824
488,45,23.01839097,61.82278962,1036,morning,58.97004974
489,114,80.110637,53.43352476,684,afternoon,29.38703217
490,99,71.0538272,93.99241954,1142,night,19.67386962
491,67,52.72194025,43.49301321,616,night,68.50158863
492,58,38.29033448,66.4397208,1045,morning,101.8754613
493,87,45.82603658,59.28025587,1407,evening,8.047134463
494,40,55.10850588,68.43947579,1239,morning,6.056000656
495,103,77.75331919,26.69748588,629,morning,60.03660979
496,87,23.6760403,25.72489444,973,morning,8.349759374
497,60,45.79379087,55.96779562,755,night,56.48440223
498,125,44.7329225,84.90615814,792,evening,10.75116476
499,71,40.3080847,72.00086837,840,evening,0.581192952
